pin_pis	region	pop	species
0.282899006328485	WGS	YRI	H. sapiens
0.25713086643016	WGS	YRI	H. sapiens
0.290780931822469	WGS	YRI	H. sapiens
0.306113931707174	WGS	YRI	H. sapiens
0.293976817953962	WGS	YRI	H. sapiens
0.31614161251082	WGS	YRI	H. sapiens
0.278839078866587	WGS	YRI	H. sapiens
0.301681648202643	WGS	YRI	H. sapiens
0.248158430039588	WGS	YRI	H. sapiens
0.299813900470151	WGS	YRI	H. sapiens
0.254431219804707	WGS	YRI	H. sapiens
0.264386736205964	WGS	YRI	H. sapiens
0.282822305948775	WGS	YRI	H. sapiens
0.276186048676856	WGS	YRI	H. sapiens
0.275978024174812	WGS	YRI	H. sapiens
0.310228267177792	WGS	YRI	H. sapiens
0.272428403905779	WGS	YRI	H. sapiens
0.258484747737727	WGS	YRI	H. sapiens
0.32170988493986	WGS	YRI	H. sapiens
0.262162696923523	WGS	YRI	H. sapiens
0.259535954294833	WGS	YRI	H. sapiens
0.250917840922509	WGS	YRI	H. sapiens
0.286795580903053	WGS	YRI	H. sapiens
0.303310868382594	WGS	YRI	H. sapiens
0.286175370962069	WGS	YRI	H. sapiens
0.271390762099978	WGS	YRI	H. sapiens
0.325617805645322	WGS	YRI	H. sapiens
0.293434106374875	WGS	YRI	H. sapiens
0.317485200710887	WGS	YRI	H. sapiens
0.305273195280802	WGS	YRI	H. sapiens
0.325887418700536	WGS	YRI	H. sapiens
0.277239244049938	WGS	YRI	H. sapiens
0.293981401231398	WGS	YRI	H. sapiens
0.286061333580658	WGS	YRI	H. sapiens
0.267717437980013	WGS	YRI	H. sapiens
0.332166823055031	WGS	YRI	H. sapiens
0.295978181017365	WGS	YRI	H. sapiens
0.266099979518594	WGS	YRI	H. sapiens
0.266957818224242	WGS	YRI	H. sapiens
0.284771061989154	WGS	YRI	H. sapiens
0.293076334866245	WGS	YRI	H. sapiens
0.28545972623565	WGS	YRI	H. sapiens
0.320257467559216	WGS	YRI	H. sapiens
0.291587167912145	WGS	YRI	H. sapiens
0.285472408764657	WGS	YRI	H. sapiens
0.275963853043496	WGS	YRI	H. sapiens
0.29183221809088	WGS	YRI	H. sapiens
0.227124244800336	WGS	YRI	H. sapiens
0.315876203135072	WGS	YRI	H. sapiens
0.320843972986687	WGS	YRI	H. sapiens
0.292649265915749	WGS	YRI	H. sapiens
0.309712914673678	WGS	YRI	H. sapiens
0.263526184705261	WGS	YRI	H. sapiens
0.279424084618546	WGS	YRI	H. sapiens
0.266131431797263	WGS	YRI	H. sapiens
0.261391487637774	WGS	YRI	H. sapiens
0.315892789762681	WGS	YRI	H. sapiens
0.281529955070673	WGS	YRI	H. sapiens
0.295055622432892	WGS	YRI	H. sapiens
0.296326835234105	WGS	YRI	H. sapiens
0.28753887339737	WGS	YRI	H. sapiens
0.342543818280144	WGS	YRI	H. sapiens
0.0652400309465248	DNABD	YRI	H. sapiens
0.124059286916946	DNABD	YRI	H. sapiens
0.0790343454931398	DNABD	YRI	H. sapiens
0.0413305703376919	DNABD	YRI	H. sapiens
0.050635450691705	DNABD	YRI	H. sapiens
0.0874794549707323	DNABD	YRI	H. sapiens
0.0879165689705761	DNABD	YRI	H. sapiens
0.0688411776182119	DNABD	YRI	H. sapiens
0.118007878876712	DNABD	YRI	H. sapiens
0.0786795153397249	DNABD	YRI	H. sapiens
0.064743322856633	DNABD	YRI	H. sapiens
0.123903253240117	DNABD	YRI	H. sapiens
